Distance_(µm),Gray_Value
230.061,403.329
230.408,402.880
230.755,402.431
231.102,401.994
231.449,401.556
231.796,401.150
232.143,400.750
232.490,400.367
232.837,400.003
233.184,399.590
233.531,399.252
233.878,398.903
234.225,398.546
234.572,398.173
234.919,397.848
235.266,397.508
235.613,397.129
235.960,396.811
236.307,396.445
236.654,396.089
237.001,395.757
237.348,395.395
237.695,395.010
238.042,394.609
238.389,394.214
238.736,393.785
239.083,393.360
239.430,392.912
239.777,392.460
240.124,391.976
240.471,391.494
240.818,390.980
241.165,390.489
241.512,389.948
241.859,389.391
242.206,388.838
242.553,388.264
242.900,387.690
243.247,387.128
243.594,386.566
243.941,385.952
244.288,385.383
244.635,384.809
244.982,384.234
245.329,383.676
245.676,383.101
246.023,382.541
246.370,381.990
246.717,381.481
247.064,380.999
247.411,380.470
247.758,379.991
248.105,379.536
248.452,379.100
248.799,378.685
249.146,378.275
249.493,377.880
249.840,377.503
250.187,377.147
250.534,376.818
250.881,376.488
251.228,376.198
251.575,375.901
251.922,375.596
252.269,375.353
252.616,375.086
252.963,374.848
253.310,374.625
253.657,374.419
254.004,374.204
254.351,373.993
254.698,373.815
255.045,373.661
255.392,373.469
255.739,373.307
256.086,373.140
256.433,372.980
256.780,372.825
257.127,372.659
257.474,372.518
257.821,372.374
258.168,372.243
258.515,372.116
258.862,371.998
259.209,371.860
259.556,371.729
259.903,371.637
260.250,371.506
260.597,371.399
260.944,371.312
261.291,371.206
261.638,371.104
261.985,370.990
262.332,370.909
262.679,370.807
263.026,370.714
263.373,370.620
263.720,370.543
264.067,370.458
264.414,370.349
264.761,370.294
265.108,370.199
265.455,370.116
265.802,370.049
266.149,369.965
266.496,369.886
266.843,369.807
267.190,369.714
267.537,369.646
267.884,369.569
268.231,369.498
268.578,369.421
268.925,369.321
269.272,369.241
269.619,369.162
269.966,369.100
270.313,369.004
270.660,368.937
271.007,368.860
271.354,368.783
271.701,368.686
272.048,368.603
272.395,368.528
272.742,368.469
273.089,368.404
273.436,368.358
273.783,368.291
274.130,368.205
274.477,368.135
274.824,368.067
275.171,367.988
275.518,367.903
275.865,367.809
276.212,367.718
276.559,367.642
276.906,367.566
277.253,367.492
277.600,367.376
277.947,367.278
278.294,367.169
278.641,367.056
278.988,366.918
279.335,366.798
279.682,366.681
280.029,366.559
280.376,366.432
280.723,366.307
281.070,366.163
281.417,366.028
281.764,365.878
282.111,365.736
282.458,365.581
282.805,365.419
283.152,365.304
283.499,365.155
283.846,364.968
284.193,364.820
284.540,364.684
284.887,364.542
285.234,364.396
285.581,364.242
285.928,364.089
286.275,363.953
286.622,363.812
286.969,363.652
287.316,363.528
287.663,363.405
288.010,363.295
288.357,363.177
288.704,363.078
289.051,362.974
289.398,362.861
289.745,362.747
290.092,362.638
290.439,362.563
290.786,362.478
291.133,362.391
291.480,362.300
291.827,362.234
292.174,362.163
292.521,362.061
292.868,361.996
293.215,361.940
293.562,361.886
293.909,361.821
294.256,361.762
294.603,361.714
294.950,361.671
295.297,361.636
295.644,361.605
295.991,361.568
296.338,361.524
296.685,361.483
297.032,361.434
297.379,361.404
297.726,361.385
298.073,361.352
298.420,361.332
298.767,361.310
299.114,361.300
299.461,361.288
299.808,361.265
300.155,361.289
300.502,361.295
300.849,361.314
301.196,361.301
301.543,361.304
301.890,361.303
302.237,361.296
302.584,361.296
302.931,361.289
303.278,361.281
303.625,361.285
303.972,361.269
304.319,361.261
304.666,361.234
305.013,361.233
305.360,361.226
305.707,361.231
306.054,361.193
306.401,361.156
306.748,361.131
307.095,361.117
307.442,361.100
307.789,361.063
308.136,361.046
308.483,361.031
308.830,361.014
309.177,360.990
309.524,360.971
309.871,360.949
310.218,360.921
310.565,360.905
310.912,360.926
311.259,360.923
311.606,360.906
311.953,360.899
312.300,360.900
312.647,360.931
312.994,360.956
313.341,360.960
313.688,360.976
314.035,360.989
314.382,361.018
314.729,361.051
315.076,361.068
315.423,361.093
315.770,361.112
316.117,361.141
316.464,361.176
316.811,361.207
317.158,361.225
317.505,361.235
317.852,361.258
318.199,361.263
318.546,361.272
318.893,361.262
319.240,361.269
319.587,361.250
319.934,361.245
320.281,361.230
320.628,361.194
320.975,361.154
321.322,361.113
321.669,361.055
322.016,361.006
322.363,360.930
322.710,360.841
323.057,360.747
323.404,360.640
323.751,360.552
324.098,360.451
324.445,360.329
324.792,360.220
325.139,360.097
325.486,359.971
325.833,359.840
326.180,359.702
326.527,359.558
326.874,359.410
327.221,359.240
327.568,359.095
327.915,358.964
328.262,358.812
328.609,358.667
328.956,358.521
329.303,358.379
329.650,358.222
329.997,358.065
330.344,357.950
330.691,357.828
331.038,357.692
331.385,357.593
331.732,357.498
332.079,357.378
332.426,357.257
332.773,357.190
333.120,357.133
333.467,357.072
333.814,357.035
334.161,356.988
334.508,356.922
334.855,356.885
335.202,356.889
335.549,356.882
335.896,356.872
336.243,356.886
336.590,356.916
336.937,356.937
337.284,356.953
337.631,356.971
337.978,356.991
338.325,357.045
338.672,357.103
339.019,357.185
339.366,357.241
339.713,357.286
340.060,357.330
340.407,357.382
340.754,357.432
341.101,357.480
341.448,357.510
341.795,357.571
342.142,357.612
342.489,357.649
342.836,357.697
343.183,357.743
343.530,357.772
343.877,357.790
344.224,357.840
344.571,357.875
344.918,357.892
345.265,357.923
345.612,357.930
345.959,357.949
346.306,357.966
346.653,357.996
347.000,358.012
347.347,358.016
347.694,358.006
348.041,357.999
348.388,357.996
348.735,358.025
349.082,358.012
349.429,357.992
349.776,357.962
350.123,357.952
350.470,357.949
350.817,357.930
351.164,357.900
351.511,357.886
351.858,357.840
352.205,357.816
352.552,357.796
352.899,357.758
353.246,357.720
353.593,357.686
353.940,357.652
354.287,357.608
354.634,357.560
354.981,357.518
355.328,357.476
355.675,357.428
356.022,357.376
356.369,357.332
356.716,357.290
357.063,357.264
357.410,357.221
357.757,357.186
358.104,357.142
358.451,357.103
358.798,357.084
359.145,357.057
359.492,357.050
359.839,357.038
360.186,357.031
360.533,357.035
360.880,357.023
361.227,357.008
361.574,356.995
361.921,356.988
362.268,356.988
362.615,356.997
362.962,357.009
363.309,357.035
363.656,357.059
364.003,357.073
364.350,357.093
364.697,357.135
365.044,357.158
365.391,357.174
365.738,357.190
366.085,357.220
366.432,357.283
366.779,357.343
367.126,357.374
367.473,357.389
367.820,357.440
368.167,357.496
368.514,357.546
368.861,357.593
369.208,357.640
369.555,357.688
369.902,357.748
370.249,357.806
370.596,357.866
370.943,357.901
371.290,357.950
371.637,358.000
371.984,358.056
372.331,358.120
372.678,358.158
373.025,358.195
373.372,358.251
373.719,358.293
374.066,358.327
374.413,358.357
374.760,358.409
375.107,358.443
375.454,358.455
375.801,358.482
376.148,358.511
376.495,358.508
376.842,358.515
377.189,358.534
377.536,358.537
377.883,358.523
378.230,358.531
378.577,358.500
378.924,358.464
379.271,358.432
379.618,358.387
379.965,358.342
380.312,358.297
380.659,358.240
381.006,358.190
381.353,358.151
381.700,358.099
382.047,358.030
382.394,357.951
382.741,357.884
383.088,357.788
383.435,357.703
383.782,357.628
384.129,357.561
384.476,357.496
384.823,357.429
385.170,357.318
385.517,357.227
385.864,357.153
386.211,357.088
386.558,357.042
386.905,356.988
387.252,356.941
387.599,356.892
387.946,356.848
388.293,356.820
388.640,356.765
388.987,356.725
389.334,356.688
389.681,356.649
390.028,356.644
390.375,356.656
390.722,356.659
391.069,356.653
391.416,356.662
391.763,356.685
392.110,356.725
392.457,356.760
392.804,356.798
393.151,356.827
393.498,356.858
393.845,356.933
394.192,356.995
394.539,357.065
394.886,357.143
395.233,357.228
395.580,357.319
395.927,357.422
396.274,357.515
396.621,357.608
396.968,357.702
397.315,357.807
397.662,357.921
398.009,358.055
398.356,358.201
398.703,358.300
399.050,358.415
399.397,358.552
399.744,358.694
400.091,358.825
400.438,358.953
400.785,359.078
401.132,359.199
401.479,359.323
401.826,359.472
402.173,359.610
402.520,359.741
402.867,359.861
403.214,359.992
403.561,360.109
403.908,360.219
404.255,360.317
404.602,360.452
404.949,360.570
405.296,360.682
405.643,360.772
405.990,360.858
406.337,360.960
406.684,361.064
407.031,361.164
407.378,361.252
407.725,361.315
408.072,361.396
408.419,361.491
408.766,361.570
409.113,361.650
409.460,361.718
409.807,361.796
