Distance_(µm),Gray_Value
233.878,1862.314
234.225,1866.085
234.572,1869.830
234.919,1873.564
235.266,1877.263
235.613,1880.943
235.960,1884.543
236.307,1888.131
236.654,1891.628
237.001,1895.076
237.348,1898.415
237.695,1901.659
238.042,1904.802
238.389,1907.860
238.736,1910.819
239.083,1913.568
239.430,1916.255
239.777,1918.734
240.124,1921.147
240.471,1923.366
240.818,1925.418
241.165,1927.340
241.512,1929.173
241.859,1930.812
242.206,1932.375
242.553,1933.739
242.900,1935.015
243.247,1936.234
243.594,1937.390
243.941,1938.395
244.288,1939.412
244.635,1940.391
244.982,1941.334
245.329,1942.281
245.676,1943.223
246.023,1944.248
246.370,1945.253
246.717,1946.382
247.064,1947.588
247.411,1948.837
247.758,1950.235
248.105,1951.737
248.452,1953.343
248.799,1955.093
249.146,1956.975
249.493,1958.969
249.840,1961.096
250.187,1963.343
250.534,1965.720
250.881,1968.235
251.228,1970.837
251.575,1973.547
251.922,1976.389
252.269,1979.268
252.616,1982.263
252.963,1985.278
253.310,1988.403
253.657,1991.533
254.004,1994.704
254.351,1997.916
254.698,2001.099
255.045,2004.303
255.392,2007.540
255.739,2010.678
256.086,2013.867
256.433,2017.038
256.780,2020.075
257.127,2023.200
257.474,2026.200
257.821,2029.202
258.168,2032.160
258.515,2035.012
258.862,2037.888
259.209,2040.657
259.556,2043.427
259.903,2046.090
260.250,2048.726
260.597,2051.361
260.944,2053.864
261.291,2056.345
261.638,2058.779
261.985,2061.151
262.332,2063.464
262.679,2065.734
263.026,2067.944
263.373,2070.125
263.720,2072.238
264.067,2074.307
264.414,2076.306
264.761,2078.249
265.108,2080.155
265.455,2081.990
265.802,2083.803
266.149,2085.526
266.496,2087.224
266.843,2088.885
267.190,2090.434
267.537,2091.970
267.884,2093.531
268.231,2094.906
268.578,2096.337
268.925,2097.676
269.272,2098.968
269.619,2100.229
269.966,2101.432
270.313,2102.589
270.660,2103.682
271.007,2104.744
271.354,2105.723
271.701,2106.754
272.048,2107.582
272.395,2108.514
272.742,2109.265
273.089,2109.998
273.436,2110.767
273.783,2111.358
274.130,2111.958
274.477,2112.607
274.824,2113.033
275.171,2113.545
275.518,2114.023
275.865,2114.485
276.212,2114.830
276.559,2115.229
276.906,2115.592
277.253,2115.977
277.600,2116.361
277.947,2116.693
278.294,2117.102
278.641,2117.559
278.988,2118.037
279.335,2118.464
279.682,2119.002
280.029,2119.594
280.376,2120.219
280.723,2120.894
281.070,2121.635
281.417,2122.439
281.764,2123.271
282.111,2124.235
282.458,2125.175
282.805,2126.217
283.152,2127.302
283.499,2128.436
283.846,2129.576
284.193,2130.766
284.540,2131.976
284.887,2133.220
285.234,2134.468
285.581,2135.710
285.928,2136.949
286.275,2138.172
286.622,2139.396
286.969,2140.588
287.316,2141.722
287.663,2142.801
288.010,2143.860
288.357,2144.843
288.704,2145.800
289.051,2146.642
289.398,2147.473
289.745,2148.194
290.092,2148.844
290.439,2149.386
290.786,2149.898
291.133,2150.292
291.480,2150.588
291.827,2150.810
292.174,2150.923
292.521,2150.940
292.868,2150.857
293.215,2150.670
293.562,2150.361
293.909,2149.954
294.256,2149.404
294.603,2148.737
294.950,2147.985
295.297,2147.084
295.644,2146.045
295.991,2144.828
296.338,2143.606
296.685,2142.144
297.032,2140.604
297.379,2138.924
297.726,2137.116
298.073,2135.216
298.420,2133.215
298.767,2131.018
299.114,2128.915
299.461,2126.650
299.808,2124.283
300.155,2121.908
300.502,2119.512
300.849,2117.182
301.196,2114.709
301.543,2112.311
301.890,2110.038
302.237,2107.730
302.584,2105.541
302.931,2103.501
303.278,2101.545
303.625,2099.796
303.972,2098.105
304.319,2096.698
304.666,2095.323
305.013,2094.347
305.360,2093.434
305.707,2092.824
306.054,2092.391
306.401,2092.227
306.748,2092.260
307.095,2092.521
307.442,2093.049
307.789,2093.734
308.136,2094.641
308.483,2095.754
308.830,2097.064
309.177,2098.526
309.524,2100.120
309.871,2101.891
310.218,2103.729
310.565,2105.716
310.912,2107.699
311.259,2109.796
311.606,2111.931
311.953,2114.029
312.300,2116.156
312.647,2118.232
312.994,2120.280
313.341,2122.265
313.688,2124.153
314.035,2125.966
314.382,2127.666
314.729,2129.237
315.076,2130.704
315.423,2132.006
315.770,2133.181
316.117,2134.216
316.464,2135.081
316.811,2135.807
317.158,2136.346
317.505,2136.776
317.852,2137.084
318.199,2137.188
318.546,2137.100
318.893,2136.937
319.240,2136.637
319.587,2136.184
319.934,2135.625
320.281,2134.952
320.628,2134.131
320.975,2133.261
321.322,2132.261
321.669,2131.204
322.016,2130.074
322.363,2128.868
322.710,2127.625
323.057,2126.328
323.404,2124.987
323.751,2123.667
324.098,2122.294
324.445,2120.920
324.792,2119.579
325.139,2118.251
325.486,2116.921
325.833,2115.644
326.180,2114.387
326.527,2113.185
326.874,2112.022
327.221,2110.942
327.568,2109.909
327.915,2108.926
328.262,2108.037
328.609,2107.210
328.956,2106.433
329.303,2105.693
329.650,2105.099
329.997,2104.547
330.344,2104.035
330.691,2103.579
331.038,2103.219
331.385,2102.868
331.732,2102.626
332.079,2102.409
332.426,2102.240
332.773,2102.136
333.120,2102.078
333.467,2102.048
333.814,2102.096
334.161,2102.195
334.508,2102.353
334.855,2102.490
335.202,2102.730
335.549,2103.034
335.896,2103.383
336.243,2103.811
336.590,2104.232
336.937,2104.752
337.284,2105.353
337.631,2105.951
337.978,2106.653
338.325,2107.457
338.672,2108.271
339.019,2109.169
339.366,2110.089
339.713,2111.094
340.060,2112.150
340.407,2113.165
340.754,2114.338
341.101,2115.442
341.448,2116.520
341.795,2117.715
342.142,2118.824
342.489,2119.898
342.836,2120.953
343.183,2121.927
343.530,2122.939
343.877,2123.693
344.224,2124.581
344.571,2125.150
344.918,2125.739
345.265,2126.136
345.612,2126.364
345.959,2126.501
346.306,2126.397
346.653,2126.212
347.000,2125.788
347.347,2125.200
347.694,2124.452
348.041,2123.520
348.388,2122.395
348.735,2121.135
349.082,2119.654
349.429,2118.010
349.776,2116.293
350.123,2114.394
350.470,2112.354
350.817,2110.249
351.164,2107.989
351.511,2105.723
351.858,2103.335
352.205,2100.946
352.552,2098.486
