Distance_(µm),Gray_Value
260.944,4780.940
261.291,4778.563
261.638,4776.396
261.985,4774.467
262.332,4772.742
262.679,4771.141
263.026,4769.586
263.373,4768.118
263.720,4766.636
264.067,4765.132
264.414,4763.542
264.761,4761.838
265.108,4760.008
265.455,4758.035
265.802,4755.835
266.149,4753.441
266.496,4750.845
266.843,4747.991
267.190,4744.863
267.537,4741.492
267.884,4737.925
268.231,4733.996
268.578,4729.896
268.925,4725.481
269.272,4720.822
269.619,4715.953
269.966,4710.831
270.313,4705.522
270.660,4699.994
271.007,4694.279
271.354,4688.405
271.701,4682.479
272.048,4676.264
272.395,4670.149
272.742,4663.764
273.089,4657.380
273.436,4651.086
273.783,4644.645
274.130,4638.294
274.477,4632.092
274.824,4625.769
275.171,4619.651
275.518,4613.658
275.865,4607.844
276.212,4602.071
276.559,4596.587
276.906,4591.258
277.253,4586.152
277.600,4581.302
277.947,4576.636
278.294,4572.243
278.641,4568.106
278.988,4564.226
279.335,4560.518
279.682,4557.121
280.029,4553.959
280.376,4550.997
280.723,4548.242
281.070,4545.708
281.417,4543.352
281.764,4541.148
282.111,4539.141
282.458,4537.165
282.805,4535.384
283.152,4533.650
283.499,4531.988
283.846,4530.344
284.193,4528.714
284.540,4527.150
284.887,4525.515
285.234,4523.876
285.581,4522.173
285.928,4520.408
286.275,4518.573
286.622,4516.670
286.969,4514.671
287.316,4512.504
287.663,4510.376
288.010,4508.047
288.357,4505.742
288.704,4503.119
289.051,4500.677
289.398,4497.940
289.745,4495.245
290.092,4492.395
290.439,4489.539
290.786,4486.533
291.133,4483.619
291.480,4480.541
291.827,4477.516
292.174,4474.417
292.521,4471.209
292.868,4468.066
293.215,4464.963
293.562,4461.690
293.909,4458.547
294.256,4455.220
294.603,4451.948
294.950,4448.672
295.297,4445.312
295.644,4441.982
295.991,4438.394
296.338,4435.052
296.685,4431.401
297.032,4427.846
297.379,4424.155
297.726,4420.344
298.073,4416.444
298.420,4412.462
298.767,4408.244
299.114,4404.167
299.461,4399.827
299.808,4395.317
300.155,4390.751
300.502,4386.108
300.849,4381.471
301.196,4376.425
301.543,4371.437
301.890,4366.447
302.237,4361.214
302.584,4356.000
302.931,4350.720
303.278,4345.364
303.625,4340.109
303.972,4334.655
304.319,4329.392
304.666,4323.845
305.013,4318.729
305.360,4313.359
305.707,4308.226
306.054,4303.080
306.401,4298.179
306.748,4293.251
307.095,4288.487
307.442,4283.975
307.789,4279.473
308.136,4275.212
308.483,4271.092
308.830,4267.295
309.177,4263.551
309.524,4260.052
309.871,4256.836
310.218,4253.644
310.565,4251.061
310.912,4248.253
311.259,4245.986
311.606,4243.853
311.953,4241.821
312.300,4240.294
312.647,4238.683
312.994,4237.578
313.341,4236.435
313.688,4235.578
314.035,4234.990
314.382,4234.418
314.729,4234.230
315.076,4234.045
315.423,4234.098
315.770,4234.251
316.117,4234.523
316.464,4234.935
316.811,4235.427
317.158,4235.982
317.505,4236.621
317.852,4237.324
318.199,4238.026
318.546,4238.702
318.893,4239.423
319.240,4240.114
319.587,4240.769
319.934,4241.396
320.281,4241.953
320.628,4242.427
320.975,4242.838
321.322,4243.127
321.669,4243.319
322.016,4243.430
322.363,4243.419
322.710,4243.293
323.057,4243.033
323.404,4242.692
323.751,4242.194
324.098,4241.591
324.445,4240.940
324.792,4240.121
325.139,4239.281
325.486,4238.280
325.833,4237.317
326.180,4236.238
326.527,4235.202
326.874,4234.104
327.221,4233.109
327.568,4232.116
327.915,4231.201
328.262,4230.439
328.609,4229.821
328.956,4229.368
329.303,4229.137
329.650,4229.156
329.997,4229.432
330.344,4230.030
330.691,4231.023
331.038,4232.283
331.385,4234.043
331.732,4236.079
332.079,4238.592
332.426,4241.496
332.773,4244.858
333.120,4248.600
333.467,4252.775
333.814,4257.189
334.161,4261.902
334.508,4266.968
334.855,4272.453
335.202,4277.844
335.549,4283.440
335.896,4289.077
336.243,4294.571
336.590,4300.204
336.937,4305.552
337.284,4310.484
337.631,4315.308
337.978,4319.620
338.325,4323.321
338.672,4326.579
339.019,4329.224
339.366,4331.185
339.713,4332.427
340.060,4332.937
340.407,4332.750
340.754,4331.785
341.101,4330.047
341.448,4327.533
341.795,4324.455
342.142,4320.594
342.489,4316.132
342.836,4311.177
343.183,4305.617
343.530,4300.008
343.877,4293.269
344.224,4287.233
344.571,4280.157
344.918,4273.502
345.265,4266.691
345.612,4259.883
345.959,4253.370
346.306,4246.717
346.653,4240.637
347.000,4234.688
347.347,4229.132
347.694,4223.895
348.041,4219.115
348.388,4214.732
348.735,4210.914
349.082,4207.341
349.429,4204.318
349.776,4201.800
350.123,4199.636
350.470,4197.861
350.817,4196.532
351.164,4195.466
351.511,4194.795
351.858,4194.379
352.205,4194.284
352.552,4194.422
352.899,4194.807
353.246,4195.384
353.593,4196.168
353.940,4197.116
354.287,4198.276
354.634,4199.488
354.981,4201.030
355.328,4202.568
355.675,4204.497
356.022,4206.352
356.369,4208.716
356.716,4210.885
357.063,4213.719
357.410,4216.494
357.757,4219.580
358.104,4223.146
358.451,4226.886
358.798,4230.851
359.145,4235.333
359.492,4239.917
359.839,4244.873
360.186,4250.136
360.533,4255.583
360.880,4261.621
361.227,4267.487
361.574,4273.923
361.921,4280.043
362.268,4286.265
362.615,4292.927
362.962,4299.083
363.309,4305.526
363.656,4311.549
364.003,4317.067
364.350,4322.200
364.697,4327.275
365.044,4331.751
365.391,4335.039
365.738,4338.355
366.085,4340.610
366.432,4341.936
366.779,4342.648
367.126,4342.407
367.473,4341.245
367.820,4339.174
368.167,4336.214
368.514,4332.346
368.861,4327.571
369.208,4322.006
369.555,4315.866
369.902,4308.343
370.249,4300.918
370.596,4292.696
370.943,4283.500
371.290,4274.599
371.637,4265.049
371.984,4254.974
372.331,4245.135
372.678,4235.095
373.025,4225.074
373.372,4215.052
373.719,4205.214
374.066,4196.041
374.413,4186.279
374.760,4177.464
375.107,4168.852
375.454,4160.761
375.801,4152.712
376.148,4145.497
376.495,4138.354
376.842,4132.072
377.189,4125.884
377.536,4120.190
377.883,4114.989
378.230,4110.044
378.577,4105.595
378.924,4101.361
379.271,4097.486
379.618,4093.942
379.965,4090.586
380.312,4087.491
380.659,4084.618
381.006,4081.987
381.353,4079.491
381.700,4077.165
382.047,4075.021
382.394,4073.002
382.741,4071.235
383.088,4069.528
383.435,4067.890
383.782,4066.799
384.129,4065.496
384.476,4064.588
384.823,4063.900
385.170,4063.461
385.517,4063.162
385.864,4063.405
386.211,4063.870
386.558,4064.354
386.905,4065.684
387.252,4067.200
387.599,4068.947
387.946,4071.470
388.293,4074.072
388.640,4077.320
388.987,4080.925
389.334,4085.027
389.681,4089.496
390.028,4094.220
390.375,4099.143
390.722,4105.261
391.069,4110.735
391.416,4117.347
391.763,4123.212
392.110,4129.665
392.457,4136.276
392.804,4142.808
393.151,4149.127
393.498,4155.904
393.845,4161.345
394.192,4167.612
394.539,4172.804
394.886,4177.848
395.233,4182.087
395.580,4186.093
395.927,4189.217
396.274,4191.722
396.621,4193.478
396.968,4194.505
397.315,4194.689
397.662,4194.104
398.009,4192.703
398.356,4190.565
398.703,4187.661
399.050,4184.000
399.397,4179.768
399.744,4174.696
400.091,4169.317
400.438,4163.276
400.785,4156.847
401.132,4150.021
401.479,4143.127
401.826,4135.681
402.173,4128.458
402.520,4121.134
402.867,4113.471
403.214,4106.386
403.561,4099.217
403.908,4092.396
404.255,4085.698
404.602,4079.201
404.949,4073.382
405.296,4067.951
405.643,4062.650
405.990,4058.039
406.337,4053.721
406.684,4049.811
407.031,4046.650
407.378,4043.607
407.725,4041.307
408.072,4039.216
408.419,4037.578
408.766,4036.426
409.113,4035.606
409.460,4035.141
409.807,4035.037
410.154,4035.219
410.501,4035.716
410.848,4036.475
411.195,4037.489
411.542,4038.705
411.889,4040.123
412.236,4041.759
412.583,4043.527
412.930,4045.474
413.277,4047.572
413.624,4049.752
413.971,4052.042
414.318,4054.458
414.665,4056.930
415.012,4059.544
415.359,4062.165
415.706,4064.898
416.053,4067.643
416.400,4070.493
416.747,4073.276
417.094,4076.226
417.441,4079.120
417.788,4082.116
