Distance_(µm),Gray_Value
181.828,29147.816
182.175,29103.713
182.522,29057.408
182.869,29009.658
183.216,28960.961
183.563,28910.980
183.910,28859.930
184.257,28808.371
184.604,28756.062
184.951,28703.445
185.298,28650.830
185.645,28597.910
185.992,28545.289
186.339,28492.652
186.686,28440.920
187.033,28388.842
187.380,28337.635
187.727,28286.346
188.074,28237.055
188.421,28186.225
188.768,28137.121
189.115,28088.045
189.462,28038.857
189.809,27990.330
190.156,27940.955
190.503,27892.988
190.850,27844.246
191.197,27793.955
191.544,27744.297
191.891,27694.123
192.238,27642.455
192.585,27590.713
192.932,27535.900
193.279,27481.861
193.626,27426.150
193.973,27368.654
194.320,27309.482
194.667,27249.148
195.014,27186.885
195.361,27123.721
195.708,27058.750
196.055,26991.170
196.402,26923.422
196.749,26853.150
197.096,26782.469
197.443,26708.781
197.790,26635.877
198.137,26560.512
198.484,26484.809
198.831,26407.580
199.178,26330.582
199.525,26251.695
199.872,26173.609
200.219,26094.742
200.566,26016.137
200.913,25935.455
201.260,25857.510
201.607,25777.623
201.954,25699.576
202.301,25621.947
202.648,25543.982
202.995,25466.816
203.342,25390.670
203.689,25315.053
204.036,25240.863
204.383,25167.498
204.730,25094.613
205.077,25022.930
205.424,24952.594
205.771,24883.418
206.118,24815.176
206.465,24748.615
206.812,24682.740
207.159,24618.600
207.506,24555.082
207.853,24493.396
208.200,24432.424
208.547,24373.348
208.894,24315.031
209.241,24257.764
209.588,24202.346
209.935,24147.225
210.282,24093.719
210.629,24040.990
210.976,23989.285
211.323,23938.389
211.670,23888.363
212.017,23838.873
212.364,23789.695
212.711,23741.414
213.058,23693.219
213.405,23645.109
213.752,23596.818
214.099,23548.783
214.446,23500.121
214.793,23451.078
215.140,23401.535
215.487,23351.139
215.834,23299.850
216.181,23247.586
216.528,23194.076
216.875,23139.477
217.222,23083.416
217.569,23025.850
217.916,22967.096
218.263,22906.062
218.610,22844.682
218.957,22780.605
219.304,22715.270
219.651,22648.887
219.998,22580.332
220.345,22511.059
220.692,22439.609
221.039,22366.572
221.386,22293.156
221.733,22218.139
222.080,22142.590
222.427,22066.398
222.774,21987.660
223.121,21909.924
223.468,21830.969
223.815,21749.510
224.162,21671.848
224.509,21589.525
224.856,21509.312
225.203,21429.988
225.550,21347.045
225.897,21268.412
226.244,21185.488
226.591,21107.145
226.938,21024.586
227.285,20946.078
227.632,20864.191
227.979,20786.609
228.326,20707.320
228.673,20630.227
229.020,20553.492
229.367,20476.082
229.714,20401.197
230.061,20326.604
230.408,20252.820
230.755,20182.539
231.102,20112.129
231.449,20042.514
231.796,19975.920
232.143,19909.600
232.490,19846.426
232.837,19783.039
233.184,19724.225
233.531,19664.713
233.878,19609.086
234.225,19555.113
234.572,19502.525
234.919,19452.410
235.266,19403.668
235.613,19358.062
235.960,19311.664
236.307,19269.420
236.654,19227.316
237.001,19187.529
237.348,19148.395
237.695,19110.855
238.042,19073.920
238.389,19037.906
238.736,19004.051
239.083,18968.434
239.430,18935.283
239.777,18900.592
240.124,18868.500
240.471,18835.875
240.818,18802.248
241.165,18769.133
241.512,18737.449
241.859,18704.689
242.206,18672.854
242.553,18639.947
242.900,18607.439
243.247,18575.969
243.594,18545.258
243.941,18513.406
244.288,18483.256
244.635,18453.562
244.982,18424.205
245.329,18396.092
245.676,18368.582
246.023,18343.004
246.370,18317.176
246.717,18293.576
247.064,18271.537
247.411,18249.598
247.758,18229.795
248.105,18211.707
248.452,18194.094
248.799,18178.059
249.146,18163.711
249.493,18150.771
249.840,18138.408
250.187,18127.703
250.534,18117.988
250.881,18108.766
251.228,18100.709
251.575,18093.418
251.922,18086.635
252.269,18080.447
252.616,18074.662
252.963,18069.164
253.310,18064.000
253.657,18058.938
254.004,18053.984
254.351,18049.143
254.698,18044.172
255.045,18039.398
255.392,18034.748
255.739,18029.719
256.086,18025.088
256.433,18020.566
256.780,18015.826
257.127,18011.719
257.474,18007.729
257.821,18004.133
258.168,18000.941
258.515,17998.199
258.862,17996.066
259.209,17994.549
259.556,17993.596
259.903,17993.379
260.250,17993.807
260.597,17994.695
260.944,17996.420
