,bin_center,tail,Phase,dnorm,normalized intensity,Distance_(microns),Gray_Value,Gray_Value_smooth
110,0.375,6,2,0.37490639153901845,0.3733726977550656,232.15104545454545,544.1807878787879,544.0321668229224
111,0.375,7,1,0.37481535770822083,0.6152730590358287,223.44860294117646,896.7163970588235,896.4992285392364
112,0.375,8,2,0.3750752079786492,0.4135236050725776,273.90473493975907,602.8569036144578,602.5350655061619
113,0.375,9,1,0.3748391428817787,0.5211205499850584,256.21232051282055,760.1632435897436,759.3119252932253
114,0.375,10,3,0.37492135040934277,0.3980583795733225,275.6362405063291,579.7981518987342,580.0010661287241
115,0.375,11,3,0.37481476618577886,0.40266338169917115,222.79332835820895,585.8918507462687,586.7109013679176
116,0.375,12,1,0.3750886911413042,0.5590439117232732,232.62245714285714,814.9906,814.5691221469301
117,0.375,13,1,0.3748458184235025,0.51591090924165,267.35198765432096,751.4808518518519,751.7210860083864
118,0.375,14,2,0.37516772462223874,0.6307501495403737,245.94637333333333,919.0965066666666,919.0505161238085
119,0.375,15,2,0.3751583571768313,0.5997559168931264,260.36240506329113,874.0098987341773,873.8895826986302
120,0.42500000000000004,1,1,0.4251174622349477,0.4887006948165478,278.27322666666663,711.4887200000001,712.0737523859486
121,0.42500000000000004,2,2,0.4250177855593647,0.5775580730336428,262.9834929577465,841.7483521126761,841.5456508410474
122,0.42500000000000004,3,2,0.4253048960164379,0.3539637717925258,306.4500487804878,515.8141341463414,515.751898579975
123,0.42500000000000004,4,1,0.42516331274239233,0.3876663335339748,285.91809210526316,564.1360921052632,564.859071659116
124,0.42500000000000004,5,1,0.4251207183972038,0.4692606133695055,270.8467808219178,683.5234246575342,683.7480882534671
125,0.42500000000000004,6,2,0.4247191218039888,0.40373464680250826,262.7517462686567,588.1668656716417,588.2718153793447
126,0.42500000000000004,7,1,0.4250369312208285,0.6276716001562572,253.15438235294118,914.2225735294118,914.564837598886
127,0.42500000000000004,8,2,0.4250451528299905,0.44153177164973545,310.163265060241,643.3627951807229,643.345075566684
128,0.42500000000000004,9,1,0.42503220205969794,0.570372172070776,290.28660256410257,830.0229230769231,831.0752514387644
129,0.42500000000000004,10,3,0.42501586731025975,0.401886602883702,312.2190125,585.739425,585.5790760773627
130,0.42500000000000004,11,3,0.4248147768383365,0.43164096705465615,252.28067647058822,628.9712499999999,628.9334276667805
131,0.42500000000000004,12,1,0.42512416734357866,0.5563051923923696,263.42033802816906,810.4927464788733,810.578601627166
132,0.42500000000000004,13,1,0.42478418896414183,0.545235438077575,302.7368271604938,794.5706913580248,794.4491351121137
133,0.42500000000000004,14,2,0.4251676958027798,0.6613448328158253,278.49164864864866,963.7417567567568,963.6292759947938
