,bin_center,tail,Phase,intensity_norm,dnorm,normalized intensity,Distance_(microns),Gray_Value,Gray_Value_smooth
29,0.07500000000000001,15,2,0.8956869113429401,0.07477815019532663,0.8677296212973141,53.29567088607595,1822.1753670886076,1820.231473116962
30,0.125,1,1,0.8851303353096605,0.12491596890813729,0.6003358519886524,83.00142666666666,1258.8757066666667,1259.3210896690334
31,0.125,2,2,0.8007632394117609,0.1250887801238114,0.5901937332720274,78.6329295774648,1238.6853521126761,1238.0460251339666
32,0.125,3,2,0.836969315003233,0.12530482792847283,0.4847287280844266,91.52000000000001,1016.0487926829269,1016.8126858042505
33,0.125,4,1,0.802009393106442,0.1251633127423924,0.43446118539197814,85.40409210526316,911.1171842105264,911.3667484531103
34,0.125,5,1,0.7898349583094366,0.12491365612438046,0.4753595770417636,80.81717808219179,996.9468630136986,997.1590711463288
35,0.125,6,2,0.8423123781044431,0.12509372576881533,0.7670688519538346,78.68746268656717,1609.2562985074628,1609.075951892236
36,0.125,7,1,0.8535167320285927,0.12518457046748985,0.6450047795725304,75.79341176470588,1352.4375588235293,1353.022844066903
37,0.125,8,2,0.456193026794029,0.12522571433708218,0.34782644121183626,92.6121204819277,729.3624337349398,729.6335401452438
38,0.125,9,1,0.8323691584923109,0.1251608214461038,0.6557723829230762,86.71465384615385,1376.6906025641026,1375.6099841479347
39,0.125,10,3,0.7594448094187041,0.12507888200411563,0.49497820013901367,93.1825375,1038.582375,1038.3129448235284
40,0.125,11,3,0.8493842581713621,0.12481473860326349,0.4765121459726585,75.35655882352941,1000.7701764705882,999.576808413169
41,0.125,12,1,0.9119718669608832,0.12491120734141861,0.6939830303143747,78.6329295774648,1454.808676056338,1455.764241053249
42,0.125,13,1,0.7846369794312208,0.12515406445273444,0.8351224685569659,90.42787654320988,1751.8013950617285,1751.8316349531135
43,0.125,14,2,0.8508818735383135,0.1251676953414224,0.5770038292051102,83.21985135135135,1210.8166486486487,1210.3776386680286
44,0.125,15,2,0.8309913885721704,0.124841494902318,0.8233320018978033,87.80677215189873,1728.2709620253163,1727.0988403486635
45,0.175,1,1,0.8744625403566456,0.1749495746230069,0.5954953021379186,115.54674324324326,1249.966337837838,1249.1670958796726
46,0.175,2,2,0.8004927795617807,0.1751954340470682,0.5900812292303965,109.43084285714285,1236.3619142857144,1237.8100260480724
47,0.175,3,2,0.8005481643294935,0.17530484116779937,0.47036699028815804,127.34167073170731,987.1427926829268,986.6861504137244
48,0.175,4,1,0.7702561712431476,0.17516332808232624,0.42305451437510694,118.82311688311687,887.6364675324676,887.4390397765777
49,0.175,5,1,0.7895389691245613,0.17494819455629756,0.4752654625633304,112.48879166666667,997.2845833333334,996.9616477421769
50,0.175,6,2,0.9048612015086052,0.17490646662748474,0.8093642535431992,109.28815151515151,1697.9066969696971,1697.7987743608076
51,0.175,7,1,0.7412854700311353,0.17503689526745292,0.595694677481899,105.28077611940299,1249.940776119403,1249.5853244005962
52,0.175,8,2,0.4716732719743591,0.17519560937555334,0.354927544760527,128.87065060240963,744.236578313253,744.5294845223239
53,0.175,9,1,0.8227678697198962,0.17503214657579347,0.6493940858361076,120.5705064935065,1362.4132207792209,1362.2302667594317
54,0.175,10,3,0.8796105367407133,0.1751733988809583,0.5511701646119612,129.76530379746836,1157.0353670886075,1156.1865079237605
55,0.175,11,3,0.9041740360719838,0.1751851306217042,0.4974149149875206,105.06235294117647,1042.7515,1043.4244276511315
56,0.175,12,1,0.8854961828884306,0.17494673116056264,0.6818519110102109,109.43084285714285,1429.7351571428571,1430.3168613400123
57,0.175,13,1,0.6757495327841228,0.17509241950593402,0.7517604625779727,125.8127037037037,1577.9536172839507,1576.9636308872052
58,0.175,14,2,0.8872059765829182,0.17516771779414925,0.5909448843853764,115.76517333333335,1239.2044799999999,1239.6217105364547
59,0.175,15,2,0.8207330164718638,0.17490486817333567,0.8162921437953854,122.3178987341772,1710.1126455696203,1712.331370194607
60,0.225,1,1,0.8183009645696648,0.22498313866471065,0.5700117876449992,148.09202666666667,1194.5069866666668,1195.7104730018063
61,0.225,2,2,0.6807589462672775,0.22494664510416632,0.540275166827449,140.0103142857143,1133.6661428571429,1133.3321332658347
62,0.225,3,2,0.6495428852821624,0.2253048487331288,0.41082196813997524,163.16335365853658,861.0631463414634,861.7788973692507
63,0.225,4,1,0.790099275926491,0.22516331274239235,0.43018272857808454,152.24209210526314,902.2195394736842,902.3918540183927
64,0.225,5,1,0.7941519792321862,0.224982667263778,0.4767322426433832,144.1603698630137,999.8982602739727,1000.0385039429153
65,0.225,6,2,0.8658298342932951,0.22471919685155275,0.7829713134188666,139.88886567164178,1641.7376865671642,1642.4344545274284
66,0.225,7,1,0.75910635323835,0.2248891566130065,0.6035244884869011,134.76811764705883,1265.8037647058825,1266.009874248917
67,0.225,8,2,0.5212746771153829,0.2251655247081568,0.3776807188843146,165.1291686746988,792.6715783132529,792.2586879941482
68,0.225,9,1,0.8192077903728018,0.22490345257498165,0.6470290654448669,154.42634615384614,1356.1676153846154,1357.2691769855649
69,0.225,10,3,0.8622526647712294,0.22495286994991237,0.543053266834432,166.11801265822785,1138.2981392405063,1139.1597377915587
