,frame,x_x,y_x,object_RSPO,object_TopFLASH,x_y,y_y,background_RSPO,background_TopFLASH,RSPO_corrected,TopFLASH_corrected,channel_1_name,channel_2_name,filename,position,condition,time
13,14,1200,807,275.3485804806812,2726.5491200712854,1901,1803,147.49946783495457,135.72354644687013,127.8491126457266,2590.8255736244155,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,3.5
14,15,1187,786,272.0068810177966,2664.010123511794,1901,1803,147.74745674612015,136.2568253261058,124.25942427167648,2527.7532981856884,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,3.75
15,16,1114,743,267.8946313210069,2654.3579861884605,1901,1803,147.97257493626395,138.58738645083042,119.92205638474294,2515.77059973763,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,4.0
16,17,1153,773,265.2443998910918,2504.299918318853,1901,1803,148.43355362491027,146.67941387589417,116.81084626618151,2357.6205044429594,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,4.25
17,18,1161,739,262.22595975347144,2503.57825301354,1901,1803,149.43778619341106,157.50835375361996,112.7881735600604,2346.06989925992,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,4.5
18,19,1165,765,259.649068092374,2350.261107398332,1901,1803,150.2790772505631,164.4975619415361,109.36999084181087,2185.763545456796,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,4.75
19,20,1170,743,256.8710427959704,2376.449444320685,1901,1803,150.9953466498354,178.34239251503675,105.87569614613504,2198.107051805648,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,5.0
20,21,1153,709,257.3598178262914,2372.450607658226,1901,1803,152.47204277121853,191.6154798148561,104.8877750550729,2180.83512784337,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,5.25
21,22,1212,748,251.592510086384,2262.6590430929928,1901,1803,153.68389396302072,207.73980842058364,97.90861612336327,2054.919234672409,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,5.5
22,23,1157,705,253.41560852454148,2211.315437736689,1896,1799,156.0412366030544,234.98542115294177,97.3743719214871,1976.330016583748,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,5.75
23,24,1187,662,250.26175094675875,2249.3306353803123,1896,1799,156.9850251231405,255.98207965149376,93.27672582361824,1993.3485557288184,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,6.0
24,25,1187,662,248.0611371005668,2244.0899977723325,1896,1799,157.77312442761317,265.5364718695082,90.28801267295364,1978.5535259028245,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,6.25
25,26,1182,688,243.46793396203063,2096.853419469815,1896,1799,158.33231850696765,276.0449988861662,85.135615455063,1820.8084205836487,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,6.5
26,27,1182,692,240.49464122175195,2044.5119922774188,2020,2060,149.8174055097646,140.15833766490928,90.67723571198736,1904.3536546125092,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,6.75
